"","FID","network_name","native_id","station_name","elev","min_obs_time","max_obs_time","freq","province","station_id","history_id","country","comments","the_geom","sensor_id","description","network_id","col_hex","vars","display_names","geometry","MAP_LABEL"
"11","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_49bb","EC","1095740","OLD SUMMIT RD NORTH",686,1976-07-01 00:00:00,1977-09-30 00:00:00,"daily","BC",138,541,NA,NA,"POINT (-122.65 54.116667)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","thickness_of_snowfall_amount_sum, thickness_of_rainfall_amount_sum, lwe_thickness_of_precipitation_amount_sum","Snowfall Amount|Rainfall Amount|Precipitation Amount",c(1218385.72123625, 1017799.91938921),"SBSmk1"
"12","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_49e8","EC","1192345","DEASE LAKE LWIS",792.5,2002-03-01 00:00:00,2004-10-31 00:00:00,"daily","BC",1445,1848,NA,NA,"POINT (-130.0322 58.42222)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","lwe_thickness_of_precipitation_amount_sum, thickness_of_rainfall_amount_sum, thickness_of_snowfall_amount_sum, air_temperature_minimum, air_temperature_maximum","Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Min.)|Temperature (Max.)",c(764531.095485846, 1499689.46619391),"BWBSdk"
"13","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4a02","EC","1182880","FINLAY FORKS",579,1945-05-01 00:00:00,1951-07-31 00:00:00,"daily","BC",1403,1806,NA,NA,"POINT (-123.9 56)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperature_minimum, thickness_of_rainfall_amount_sum, air_temperature_maximum, lwe_thickness_of_precipitation_amount_sum, thickness_of_snowfall_amount_sum","Temperature (Min.)|Rainfall Amount|Temperature (Max.)|Precipitation Amount|Snowfall Amount",c(1130694.48049204, 1224787.32708099),"SBSmk2"
"14","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4a20","EC","1192340","DEASE LAKE",806.6,1944-09-15 00:00:00,2011-12-15 00:00:00,"daily","BC",1444,1847,NA,NA,"POINT (-130.0106 58.42833)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","thickness_of_rainfall_amount_sum, surface_snow_thickness_point, air_temperaturet: minimum within days t: mean within months t: mean over years, thickness_of_snowfall_amount_sum, air_temperature_maximum, air_temperature_minimum, air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: mean within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years","Rainfall Amount|Surface Snow Depth (Point)|Temperature Climatology (Min.)|Snowfall Amount|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Precipitation Amount|Temperature Climatology (Mean)|Precipitation Climatology",c(765829.659762719, 1500297.35582889),"BWBSdk"
"15","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4a2b","EC","1208202","TODAGIN RANCH",899,1973-08-01 00:00:00,2000-12-31 23:59:59,"daily","BC",1496,1899,NA,NA,"POINT (-130.066667 57.6)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperaturet: maximum within days t: mean within months t: mean over years, thickness_of_snowfall_amount_sum, thickness_of_rainfall_amount_sum, surface_snow_thickness_point, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperaturet: mean within days t: mean within months t: mean over years, air_temperature_minimum, air_temperature_maximum","Temperature Climatology (Max.)|Snowfall Amount|Rainfall Amount|Surface Snow Depth (Point)|Precipitation Amount|Temperature Climatology (Min.)|Precipitation Climatology|Temperature Climatology (Mean)|Temperature (Min.)|Temperature (Max.)",c(757259.345275971, 1408319.64630189),"BWBSdk"
"16","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4a3d","EC_raw","119BLM0","Dease Lake",801.9,2011-05-31 06:00:00,2019-09-05 07:12:00,"daily","BC",6588,8273,NA,NA,"POINT (-130.02556388888888 58.42584166666666)",NA,"Environment Canada (raw observations from ""Climate Data Online"")",19,"#FF0000","air_temperature_point, wind_speed_of_gust_maximum, air_temperature_minimum, air_temperature_maximum, dew_point_temperature_point, wind_speed_point, thickness_of_snowfall_amount_sum, mean_sea_level_point, relative_humidity_point, tendency_of_air_pressure_sum, wind_from_direction_mean, lwe_thickness_of_precipitation_amount_sum","Temperature (Point)|Wind Gust (Max.)|Temperature (Min.)|Temperature (Max.)|Dew Point Temperature (Point)|Wind Speed (Point)|Snowfall Amount|Mean Sea Level|Relative Humidity (Point)|Air Pressure Tendency|Wind Direction (Mean)|Precipitation Amount",c(764941.135929771, 1500070.20292491),"BWBSdk"
"17","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4a66","EC","1091512","CHIEF LAKE",793,1970-06-01 00:00:00,2000-12-31 23:59:59,"daily","BC",131,534,NA,NA,"POINT (-123.066667 54.1)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, thickness_of_rainfall_amount_sum, thickness_of_snowfall_amount_sum, lwe_thickness_of_precipitation_amount_sum","Precipitation Climatology|Rainfall Amount|Snowfall Amount|Precipitation Amount",c(1191317.00698307, 1014735.80281563),"SBSmk1"
"18","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4b52","EC_raw","1184790","Mackenzie Airport",690.1,2011-05-31 06:00:00,2011-06-16 06:00:00,"daily","BC",6613,8298,NA,NA,"POINT (-123.13333333333334 55.29944444444445)",NA,"Environment Canada (raw observations from ""Climate Data Online"")",19,"#FF0000","lwe_thickness_of_precipitation_amount_sum, wind_speed_of_gust_maximum, wind_from_direction_mean, air_temperature_maximum, air_temperature_minimum","Precipitation Amount|Wind Gust (Max.)|Wind Direction (Mean)|Temperature (Max.)|Temperature (Min.)",c(1181551.28185483, 1148331.41644969),"SBSmk1"
"19","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4bf6","BCH","ING","Ingenika R. ab Swannell R.",711,1960-01-02 00:00:00,2017-03-31 00:00:00,"daily","BC",2473,2876,NA,NA,"POINT (-125.1030556 56.73055556)",NA,"BC Hydro",5,"#0010A5","air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperature_minimum, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperature_maximum, air_temperaturet: mean within days t: mean within months t: mean over years","Temperature Climatology (Max.)|Precipitation Climatology|Temperature (Min.)|Precipitation Amount|Temperature Climatology (Min.)|Temperature (Max.)|Temperature Climatology (Mean)",c(1054795.56903981, 1304718.51589833),"BWBSdk"
"20","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4bf9","BCH","NAT","Nation R. nr the Mouth",725,1982-11-02 00:00:00,2017-03-31 00:00:00,"daily","BC",2484,2887,NA,NA,"POINT (-123.61 55.43)",NA,"BC Hydro",5,"#0010A5","air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperature_minimum, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperature_maximum, air_temperaturet: mean within days t: mean within months t: mean over years","Temperature Climatology (Max.)|Precipitation Climatology|Temperature (Min.)|Precipitation Amount|Temperature Climatology (Min.)|Temperature (Max.)|Temperature Climatology (Mean)",c(1150883.81338631, 1161775.20145922),"SBSwk2"
"21","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4bfa","BCH","OMI","Ominica R. ab Osilinka R.",715,1983-09-23 00:00:00,2017-03-31 00:00:00,"daily","BC",2486,2889,NA,NA,"POINT (-124.56 55.94)",NA,"BC Hydro",5,"#0010A5","air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperature_minimum, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperature_maximum, air_temperaturet: mean within days t: mean within months t: mean over years","Temperature Climatology (Max.)|Precipitation Climatology|Temperature (Min.)|Precipitation Amount|Temperature Climatology (Min.)|Temperature (Max.)|Temperature Climatology (Mean)",c(1089762.24233867, 1217065.19091501),"BWBSdk"
"22","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4bfb","BCH","OSL","Osilinka R. nr End Lk",775,1982-10-17 00:00:00,2017-03-31 00:00:00,"daily","BC",2487,2890,NA,NA,"POINT (-124.8013889 56.12666667)",NA,"BC Hydro",5,"#0010A5","air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperature_minimum, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperature_maximum, air_temperaturet: mean within days t: mean within months t: mean over years","Temperature Climatology (Max.)|Precipitation Climatology|Temperature (Min.)|Precipitation Amount|Temperature Climatology (Min.)|Temperature (Max.)|Temperature Climatology (Mean)",c(1074364.15678297, 1237614.82251101),"BWBSdk"
"23","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4bfc","BCH","OSP","Ospika R. ab Alley Ck",750,1960-01-02 00:00:00,2017-03-31 00:00:00,"daily","BC",2488,2891,NA,NA,"POINT (-123.93 56.46)",NA,"BC Hydro",5,"#0010A5","air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperature_minimum, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperature_maximum, air_temperaturet: mean within days t: mean within months t: mean over years","Temperature Climatology (Max.)|Precipitation Climatology|Temperature (Min.)|Precipitation Amount|Temperature Climatology (Min.)|Temperature (Max.)|Temperature Climatology (Mean)",c(1127327.10718584, 1276045.03845103),"SBSmk2"
"24","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4c36","EC","119BLM0","DEASE LAKE (AUT)",801.9,1993-08-01 00:00:00,2017-12-31 00:00:00,"daily","BC",1467,1870,NA,NA,"POINT (-130.0256 58.42584)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","lwe_thickness_of_precipitation_amount_sum, air_temperaturet: maximum within days t: mean within months t: mean over years, air_temperature_minimum, air_temperaturet: minimum within days t: mean within months t: mean over years, thickness_of_snowfall_amount_sum, air_temperature_maximum, thickness_of_rainfall_amount_sum, surface_snow_thickness_point, air_temperaturet: mean within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years","Precipitation Amount|Temperature Climatology (Max.)|Temperature (Min.)|Temperature Climatology (Min.)|Snowfall Amount|Temperature (Max.)|Rainfall Amount|Surface Snow Depth (Point)|Temperature Climatology (Mean)|Precipitation Climatology",c(764939.01969476, 1500070.13706059),"BWBSdk"
"25","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4c65","EC","1096458","PRINCE GEORGE 15NW",762,1984-05-01 00:00:00,2004-06-30 00:00:00,"daily","BC",795,1198,NA,NA,"POINT (-122.733333 54.05)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","surface_snow_thickness_point, air_temperaturet: maximum within days t: mean within months t: mean over years, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperature_minimum, thickness_of_rainfall_amount_sum, air_temperaturet: mean within days t: mean within months t: mean over years, thickness_of_snowfall_amount_sum, air_temperature_maximum, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, lwe_thickness_of_precipitation_amount_sum","Surface Snow Depth (Point)|Temperature Climatology (Max.)|Temperature Climatology (Min.)|Temperature (Min.)|Rainfall Amount|Temperature Climatology (Mean)|Snowfall Amount|Temperature (Max.)|Precipitation Climatology|Precipitation Amount",c(1213300.39587529, 1010113.24093064),"SBSmk1"
"26","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4c83","EC","1096952","SALMON VAL ERICKSON RD",693,1970-06-01 00:00:00,2000-12-31 23:59:59,"daily","BC",808,1211,NA,NA,"POINT (-122.65 54.133333)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","thickness_of_snowfall_amount_sum, air_temperature_maximum, air_temperaturet: mean within days t: mean within months t: mean over years, thickness_of_rainfall_amount_sum, air_temperaturet: maximum within days t: mean within months t: mean over years, air_temperaturet: minimum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperature_minimum, lwe_thickness_of_precipitation_amount_sum","Snowfall Amount|Temperature (Max.)|Temperature Climatology (Mean)|Rainfall Amount|Temperature Climatology (Max.)|Temperature Climatology (Min.)|Precipitation Climatology|Temperature (Min.)|Precipitation Amount",c(1218297.7298667, 1019657.95491108),"SBSmk1"
"27","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4cbc","EC","1188971","WOLVERINE RIVER",854,1981-06-01 00:00:00,2000-07-31 23:59:59,"daily","BC",1435,1838,NA,NA,"POINT (-121.266667 55.066667)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperature_maximum, surface_snow_thickness_point, lwe_thickness_of_precipitation_amount_sum, air_temperature_minimum, air_temperaturet: minimum within days t: mean within months t: mean over years, thickness_of_snowfall_amount_sum, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, thickness_of_rainfall_amount_sum","Temperature (Max.)|Surface Snow Depth (Point)|Precipitation Amount|Temperature (Min.)|Temperature Climatology (Min.)|Snowfall Amount|Precipitation Climatology|Rainfall Amount",c(1301365.3088872, 1128750.20002108),"ESSFmv2"
"28","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4cbd","EC","1187861","SUMMIT LAKE BCFS",716,1973-07-01 00:00:00,2000-11-30 23:59:59,"daily","BC",1431,1834,NA,NA,"POINT (-122.633333 54.283333)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","lwe_thickness_of_precipitation_amount_sum, air_temperature_maximum, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperaturet: mean within days t: mean within months t: mean over years, thickness_of_snowfall_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years, thickness_of_rainfall_amount_sum, air_temperaturet: maximum within days t: mean within months t: mean over years, air_temperature_minimum","Precipitation Amount|Temperature (Max.)|Precipitation Climatology|Temperature Climatology (Mean)|Snowfall Amount|Temperature Climatology (Min.)|Rainfall Amount|Temperature Climatology (Max.)|Temperature (Min.)",c(1218587.08495196, 1036432.63511183),"SBSmk1"
"29","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4d0e","EC","1182428","DENISON SHERIFF",1096,1981-07-01 00:00:00,1982-06-30 00:00:00,"daily","BC",1402,1805,NA,NA,"POINT (-121.116667 55.066667)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperature_maximum, air_temperature_minimum, thickness_of_snowfall_amount_sum, surface_snow_thickness_point, thickness_of_rainfall_amount_sum, lwe_thickness_of_precipitation_amount_sum","Temperature (Max.)|Temperature (Min.)|Snowfall Amount|Surface Snow Depth (Point)|Rainfall Amount|Precipitation Amount",c(1310900.69880582, 1129398.86205953),"SBSwk2"
"30","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4d63","EC","1203672","ISKUT RANCH",854,1976-06-13 00:00:00,2000-12-31 23:59:59,"daily","BC",1484,1887,NA,NA,"POINT (-130.016667 57.866667)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years, surface_snow_thickness_point, thickness_of_rainfall_amount_sum, air_temperaturet: mean within days t: mean within months t: mean over years, air_temperature_maximum, air_temperature_minimum, air_temperaturet: maximum within days t: mean within months t: mean over years, thickness_of_snowfall_amount_sum","Precipitation Climatology|Precipitation Amount|Temperature Climatology (Min.)|Surface Snow Depth (Point)|Rainfall Amount|Temperature Climatology (Mean)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Snowfall Amount",c(761926.514805539, 1437830.1291576),"BWBSdk"
"31","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4d99","EC","11851RQ","MORFEE LAKES MILL SITE",695,1965-11-01 00:00:00,1966-11-30 00:00:00,"daily","BC",1420,1823,NA,NA,"POINT (-123.166667 55.3)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperature_maximum, thickness_of_snowfall_amount_sum, air_temperature_minimum, lwe_thickness_of_precipitation_amount_sum, thickness_of_rainfall_amount_sum","Temperature (Max.)|Snowfall Amount|Temperature (Min.)|Precipitation Amount|Rainfall Amount",c(1179438.84989858, 1148308.39010212),"SBSmk1"
"32","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4e22","EC","1093777","KALDER LAKE",969,1973-07-01 00:00:00,2000-12-31 23:59:59,"daily","BC",764,1167,NA,NA,"POINT (-124.25 54.966667)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperaturet: maximum within days t: mean within months t: mean over years, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperature_minimum, air_temperaturet: mean within days t: mean within months t: mean over years, thickness_of_snowfall_amount_sum, surface_snow_thickness_point, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, thickness_of_rainfall_amount_sum, air_temperature_maximum, lwe_thickness_of_precipitation_amount_sum","Temperature Climatology (Max.)|Temperature Climatology (Min.)|Temperature (Min.)|Temperature Climatology (Mean)|Snowfall Amount|Surface Snow Depth (Point)|Precipitation Climatology|Rainfall Amount|Temperature (Max.)|Precipitation Amount",c(1111767.90016352, 1108890.44176723),"SBSmk1"
"33","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4e42","EC","1204958","MCBRIDE RIVER",914,1975-04-01 00:00:00,2000-11-30 23:59:59,"daily","BC",1488,1891,NA,NA,"POINT (-129.266667 57.966667)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperaturet: mean within days t: mean within months t: mean over years, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperature_minimum, thickness_of_snowfall_amount_sum, air_temperature_maximum, air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, lwe_thickness_of_precipitation_amount_sum, thickness_of_rainfall_amount_sum","Temperature Climatology (Mean)|Temperature Climatology (Min.)|Temperature (Min.)|Snowfall Amount|Temperature (Max.)|Temperature Climatology (Max.)|Precipitation Climatology|Precipitation Amount|Rainfall Amount",c(806859.038612049, 1446677.48822603),"BWBSdk"
